,"Площадь
территории, 
тыс. км2","Численность 
 населения 
на 1 января 
2021 г., 
тыс. человек","Средне-
годовая численность
занятых, 
тыс. человек","Средне-
душевые денежные доходы 
(в месяц), руб.","Потреби-
тельские расходы
в среднем 
на душу населения 
(в месяц), руб.
","Средне-
месячная 
номиналь-
ная начис-
ленная 
заработная плата работников организаций, руб.","Валовой 
региональ-
ный
 продукт 
в 2019 г. ,
млрд руб.","Инвестиции 
в основной 
капитал, 
млрд руб.","Основные 
фонды в экономике 
(по полной учетной стоимости; на конец года),
млрд руб.","Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности, 
млрд руб.",,,,"Продукция 
сельского 
хозяйства - 
всего,
млрд руб.",в том числе,,"Ввод 
в действие 
жилых домов,
тыс. м2 
общей 
площади 
жилых 
помещений","Оборот 
розничной 
торговли, 
млрд руб.
","Сальдированный финансовый результат (прибыль минус убыток) деятельности организаций5), 
млрд руб."
,,,,,,,,,,"добыча 
полезных 
ископаемых","обрабаты-
вающие производства","обеспечение электрической энергией, газом и паром; кондиционирование воздуха","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",,"растение-
водства","животно-
водства",,,
Краснодарский край,"75,5","5 683,9","2 609,1",36 838,32 528,38 499,"2 569,8","500,3","13 020,4","24,3","919,0","113,5","30,5","433,0","312,4","120,6","5 124,3","1 487,3","333,9"
Астраханская область,"49,0","997,8","444,2",25 199,20 610,38 885,"602,3","111,6","2 163,6","249,8","76,0","29,9","6,5","55,5","35,0","20,5","365,0","174,8","67,2"
Волгоградская область,"112,9","2 474,6","1 072,6",24 864,20 378,35 962,"961,4","189,9","2 830,6","34,3","775,6","72,8","21,6","179,0","134,0","45,0","770,7","415,7","86,1"
Ростовская область,"101,0","4 181,5","1 909,4",31 427,26 123,35 622,"1 637,8","323,8","7 018,7","34,2","849,3","162,2","35,6","330,8","263,1","67,7","2 644,3","975,6","119,9"
г. Севастополь,"0,9","510,0","194,3",29 957,24 515,36 300,"136,9","26,8","963,8",…7),"15,6","8,9",…7),"3,0","2,8","0,2","642,4","67,8","-1,5"
Северо-Кавказский федеральный округ,"170,4","9 967,3","3 739,1",24 427,19 350,31 799,"2 296,6","708,1","7 645,3","24,6","448,8","146,2","22,2","513,1","272,6","240,5","3 995,8","1 605,5","-1,2"
,,,,,,,,,,,,,,,,,,,
Республика Дагестан,"50,3","3 133,3","1 022,9",27 661,22 596,31 342,"718,5","279,7","2 033,6","4,3","43,7","17,8","1,8","154,9","72,8","82,1","969,7","588,0","-16,0"
Республика Ингушетия,"3,6","515,5","182,2",16 877,9 421,29 648,"73,2","21,7","193,0","0,9","2,1","0,4","0,8","11,6","3,4","8,2","180,3","25,9","-4,3"
Кабардино-Балкарская,"12,5","869,2","360,6",21 957,17 121,29 899,"171,0","49,8","536,0","0,4","38,8","9,5","1,4","59,2","33,1","26,1","500,4","134,2","-12,5"
Республика,,,,,,,,,,,,,,,,,,,
Карачаево-Черкесская,"14,3","465,4","161,8",18 949,11 587,29 865,"92,0","18,7","424,2","2,7","26,5","9,8","1,5","31,7","13,0","18,7","127,9","38,9","-9,4"
Республика,,,,,,,,,,,,,,,,,,,
Республика Северная,"8,0","693,1","248,7",23 927,17 962,30 479,"173,3","30,1","361,1","0,6","18,0","15,4","1,7","32,2","15,6","16,6","239,4","113,6","-3,6"
Осетия - Алания,,,,,,,,,,,,,,,,,,,
Чеченская Республика,"15,6","1 498,0","515,1",24 596,16 708,29 771,"241,6","76,0","870,8","4,6","11,9","24,7","2,3","39,9","14,1","25,8","756,2","184,5","-15,8"
