iter	Passed	Remaining
820	2322	506
821	2324	503
822	2327	500
823	2330	497
824	2333	494
825	2336	492
826	2338	489
827	2341	486
828	2344	483
829	2347	480
830	2349	477
831	2352	474
832	2354	472
833	2357	469
834	2359	466
835	2361	463
836	2364	460
837	2367	457
838	2370	454
839	2372	451
840	2375	449
841	2378	446
842	2381	443
843	2384	440
844	2386	437
845	2389	434
846	2391	432
847	2394	429
848	2396	426
849	2399	423
850	2402	420
851	2405	417
852	2407	414
853	2410	412
854	2412	409
855	2415	406
856	2418	403
857	2421	400
858	2423	397
859	2426	394
860	2428	392
861	2431	389
862	2434	386
863	2437	383
864	2439	380
865	2442	377
866	2445	375
867	2448	372
868	2451	369
869	2453	366
870	2456	363
871	2459	360
872	2462	358
873	2464	355
874	2467	352
875	2469	349
876	2473	346
877	2476	344
878	2479	341
879	2482	338
880	2484	335
881	2487	332
882	2490	329
883	2492	327
884	2495	324
885	2498	321
886	2501	318
887	2504	315
888	2507	313
889	2509	310
890	2512	307
891	2514	304
892	2517	301
893	2519	298
894	2521	295
895	2524	293
896	2527	290
897	2530	287
898	2532	284
899	2535	281
900	2537	278
901	2541	276
902	2543	273
903	2546	270
904	2548	267
905	2551	264
906	2553	261
907	2556	259
908	2558	256
909	2561	253
910	2564	250
911	2566	247
912	2568	244
913	2570	241
914	2573	239
915	2576	236
916	2579	233
917	2581	230
918	2584	227
919	2586	224
920	2589	222
921	2592	219
922	2594	216
923	2597	213
924	2599	210
925	2601	207
926	2605	205
927	2607	202
928	2610	199
929	2612	196
930	2615	193
931	2617	190
932	2620	188
933	2622	185
934	2625	182
935	2627	179
936	2629	176
937	2632	173
938	2635	171
939	2637	168
940	2639	165
941	2641	162
942	2644	159
943	2646	156
944	2648	154
945	2651	151
946	2654	148
947	2656	145
948	2659	142
949	2661	140
950	2663	137
951	2665	134
952	2668	131
953	2670	128
954	2673	125
955	2675	123
956	2677	120
957	2680	117
958	2682	114
959	2685	111
960	2687	109
961	2690	106
962	2692	103
963	2694	100
964	2697	97
965	2699	95
966	2701	92
967	2704	89
968	2706	86
969	2709	83
970	2711	80
971	2714	78
972	2716	75
973	2718	72
974	2721	69
975	2723	66
976	2725	64
977	2728	61
978	2730	58
979	2733	55
980	2735	52
981	2738	50
982	2741	47
983	2743	44
984	2746	41
985	2749	39
986	2751	36
987	2754	33
988	2757	30
989	2759	27
990	2761	25
991	2764	22
992	2767	19
993	2770	16
994	2773	13
995	2775	11
996	2778	8
997	2781	5
998	2784	2
999	2787	0
