,z_nfm,zc1.1,zc6,zc5,zc9.7.2a,zc9.7.3a,zc9.7.1a,zc9.8a,zc9.101a,zc9.12a,ze1.1c,ze4,ze9.8b,ze11,ze12,ze44,ze14,ze16,zf12_a,zf14.8,zf14.12,zf14
4729,2.0,8000000.0,42.6,29.0,Нет,Нет,Нет,Нет,Нет,Нет,76.0,40000.0,1100.0,7500.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше месяца,Нет,Нет,86000.0
4730,5.0,8300000.0,43.8,30.0,Нет,Нет,Нет,Нет,Да,Да,150.0,50000.0,1500.0,8000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Да,Несколько месяцев,Нет,Нет,112700.0
4743,3.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,36.6,19.0,Нет,Нет,Нет,Нет,Да,Да,100.0,22000.0,1500.0,5700.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше недели,Нет,Нет,43800.0
4744,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,46.6,34.0,Нет,Нет,Нет,Нет,Нет,Нет,,12000.0,700.0,7500.0,Нет,"Сортирует и даже специально сдает использованные батарейки, электронику, пластик, алюминиевые банки и др.в пункты приема",Нет,Нет,Не больше недели,Нет,Нет,10000.0
4745,4.0,12000000.0,64.0,35.0,Нет,Да,Нет,Нет,Нет,Нет,80.0,40000.0,1400.0,8500.0,Нет,"Сортирует и даже специально сдает использованные батарейки, электронику, пластик, алюминиевые банки и др.в пункты приема",Нет,Нет,Не больше двух недель,Да,Нет,46000.0
4746,4.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,53.3,40.0,Нет,Нет,Нет,Нет,Нет,Да,100.0,35000.0,340.0,6000.0,Нет,"Сортирует и даже специально сдает использованные батарейки, электронику, пластик, алюминиевые банки и др.в пункты приема",Нет,Да,Не больше двух недель,Нет,Нет,108700.0
4747,3.0,15000000.0,74.0,54.3,Нет,Да,Нет,Нет,Да,Да,140.0,25000.0,900.0,10000.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Не больше двух недель,Нет,Нет,70000.0
4748,1.0,3000000.0,16.5,11.0,Нет,Нет,Нет,Нет,Нет,Нет,85.0,15000.0,470.0,2500.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше недели,Нет,Нет,43000.0
4749,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,31.8,18.5,Нет,Нет,Нет,Нет,Да,Нет,74.0,17000.0,600.0,1300.0,Нет,"Не сортирует, но хотела бы",Нет,Да,Не больше месяца,Нет,Нет,36000.0
4750,3.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,51.0,32.0,Да,Да,Нет,Нет,Да,Нет,39.0,30000.0,3000.0,6100.0,Нет,"Не сортирует, но хотела бы",Нет,Нет,Не больше месяца,Нет,Нет,162000.0
4751,5.0,12000000.0,58.0,38.0,Нет,Да,Нет,Нет,Да,Да,100.0,45000.0,1300.0,10000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Да,Да,Полгода и больше,Нет,Нет,265000.0
4752,2.0,3000000.0,59.1,37.5,Нет,Да,Нет,Нет,Нет,Нет,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,30000.0,2000.0,8000.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Полгода и больше,Нет,Нет,120000.0
4753,1.0,4000000.0,23.0,16.0,Нет,Нет,Нет,Нет,Нет,Нет,30.0,15000.0,100.0,,Нет,"Не сортирует, но хотела бы",Да,Нет,Полгода и больше,Нет,Да,23060.0
4754,3.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,54.5,42.0,Нет,Нет,Нет,Нет,Нет,Нет,225.0,25000.0,1000.0,8000.0,Да,"Не сортирует, так как не считает нужным",Нет,Нет,Не больше недели,Нет,Нет,59500.0
4755,1.0,9000000.0,53.0,34.0,Нет,Нет,Нет,Нет,Нет,Нет,40.0,15000.0,500.0,5750.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,Несколько месяцев,Нет,Нет,39150.0
4756,2.0,2000000.0,37.4,19.1,Нет,Нет,Нет,Нет,Нет,Да,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,25000.0,500.0,4000.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Не больше месяца,Нет,Нет,75250.0
4757,4.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,58.6,43.0,Нет,Да,Нет,Нет,Нет,Нет,120.0,30000.0,1500.0,8000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Несколько месяцев,Нет,Нет,76000.0
4758,1.0,9000000.0,56.4,32.2,Нет,Нет,Нет,Нет,Да,Нет,35.0,8000.0,750.0,6500.0,Нет,"Не сортирует, но хотела бы",Нет,Нет,Полгода и больше,Нет,Нет,31584.0
4759,3.0,6000000.0,44.8,27.9,Нет,Нет,Нет,Нет,Нет,Нет,100.0,30000.0,1000.0,9500.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Да,Да,Не больше месяца,Да,Да,105000.0
4760,2.0,7000000.0,44.2,27.8,Нет,Нет,Нет,Нет,Нет,Нет,280.0,20000.0,500.0,5700.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,Не больше месяца,Нет,Нет,54000.0
4761,3.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,38.3,23.8,Нет,Нет,Нет,Нет,Нет,Нет,120.0,28000.0,700.0,5800.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше месяца,Нет,Нет,89000.0
4762,2.0,10000000.0,74.0,46.0,Нет,Да,Нет,Нет,Да,Нет,,25000.0,2000.0,9000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше месяца,Нет,Да,137000.0
4763,1.0,11000000.0,53.9,32.0,Нет,Нет,Нет,Нет,Да,Нет,225.0,12000.0,600.0,5000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Ни одного дня,Нет,Нет,23000.0
4764,3.0,5500000.0,38.7,31.0,Нет,Нет,Нет,Нет,Нет,Да,315.0,36000.0,1800.0,6000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше двух недель,Да,Нет,164000.0
4765,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,64.3,44.1,Нет,Нет,Нет,Нет,Нет,Да,,14000.0,500.0,8500.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Ни одного дня,Да,Нет,63160.0
4766,3.0,13000000.0,66.2,41.8,Нет,Да,Нет,Нет,Нет,Да,90.0,23000.0,1100.0,12000.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Не больше двух недель,Нет,Нет,45000.0
4767,4.0,9500000.0,47.7,38.0,Нет,Нет,Нет,Нет,Да,Да,126.0,45000.0,800.0,8000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Полгода и больше,Нет,Нет,132000.0
4768,5.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,60.5,32.8,Нет,Да,Нет,Нет,Нет,Нет,120.0,35000.0,1600.0,6000.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Да,Несколько месяцев,Да,Нет,250000.0
4769,2.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,49.7,31.5,Нет,Нет,Нет,Нет,Нет,Нет,45.0,18000.0,800.0,5400.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,Не больше месяца,Нет,Нет,46800.0
4770,4.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,69.0,43.0,Нет,Нет,Нет,Нет,Нет,Нет,,26000.0,900.0,8000.0,Нет,"Сортирует и даже специально сдает использованные батарейки, электронику, пластик, алюминиевые банки и др.в пункты приема",Нет,Нет,Не больше двух недель,Нет,Нет,221300.0
4771,3.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,58.0,33.0,Нет,Да,Нет,Нет,Нет,Нет,50.0,20000.0,1000.0,7000.0,Нет,"Сортирует и даже специально сдает использованные батарейки, электронику, пластик, алюминиевые банки и др.в пункты приема",Нет,Нет,Несколько месяцев,Нет,Нет,122000.0
4772,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,59.0,28.0,Нет,Нет,Нет,Нет,Нет,Нет,,12000.0,400.0,6000.0,Нет,"Сортирует и даже специально сдает использованные батарейки, электронику, пластик, алюминиевые банки и др.в пункты приема",Нет,Нет,Несколько месяцев,Нет,Нет,22000.0
4773,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,42.6,37.0,Нет,Нет,Нет,Нет,Нет,Нет,52.0,20000.0,440.0,7000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Несколько месяцев,Нет,Нет,59000.0
4774,1.0,17000000.0,52.0,26.5,Нет,Нет,Нет,Нет,Да,Нет,24.0,20000.0,200.0,6000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше месяца,Нет,Нет,56800.0
4775,3.0,nan,30.0,18.0,Нет,Да,Нет,Нет,Нет,Да,45.0,28000.0,600.0,35500.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Да,Несколько месяцев,Нет,Нет,150000.0
4776,6.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,36.8,19.2,Нет,Нет,Нет,Нет,Нет,Нет,800.0,50000.0,3000.0,7000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Несколько месяцев,Нет,Да,ОТКАЗ ОТ ОТВЕТА
4777,2.0,8000000.0,64.8,43.8,Нет,Да,Нет,Нет,Да,Нет,90.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,200.0,5500.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,Не больше месяца,Нет,Нет,44300.0
4778,1.0,17000000.0,75.0,37.0,Нет,Нет,Нет,Нет,Да,Нет,40.0,8000.0,300.0,5000.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Несколько месяцев,Нет,Нет,24000.0
4779,6.0,17000000.0,55.0,29.0,Нет,Да,Нет,Нет,Да,Нет,200.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,1400.0,5800.0,Нет,"Не сортирует, но хотела бы",Нет,Нет,Несколько месяцев,Нет,Нет,210000.0
4780,2.0,7500000.0,47.3,31.7,Нет,Да,Нет,Нет,Нет,Нет,50.0,20000.0,2000.0,7500.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,Несколько месяцев,Нет,Нет,44300.0
