,z_nfm,zc1.1,zc6,zc5,zc9.7.2a,zc9.7.3a,zc9.7.1a,zc9.8a,zc9.101a,zc9.12a,ze1.1c,ze4,ze9.8b,ze11,ze12,ze44,ze14,ze16,zf12_a,zf14.8,zf14.12,zf14
3969,4.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,17.0,Нет,Да,Нет,Нет,Нет,Нет,64.0,35000.0,400.0,5500.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Да,Несколько месяцев,Нет,Нет,136000.0
3970,1.0,12000000.0,50.8,32.6,Нет,Да,Нет,Нет,Нет,Нет,80.0,25000.0,500.0,8000.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Несколько месяцев,Нет,Да,72000.0
3971,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,63.6,39.2,Нет,Нет,Нет,Нет,Нет,Нет,22.0,12000.0,,7800.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Да,Несколько месяцев,Нет,Нет,25000.0
3972,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,48.5,29.4,Нет,Нет,Нет,Нет,Нет,Нет,60.0,11000.0,,6500.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше месяца,Нет,Нет,21200.0
3973,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,62.0,39.0,Нет,Нет,Нет,Нет,Нет,Нет,70.0,12000.0,,7500.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Несколько месяцев,Нет,Нет,25000.0
3974,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,46.8,21.6,Нет,Нет,Нет,Нет,Нет,Нет,28.0,10000.0,,6200.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Да,Несколько месяцев,Нет,Нет,25700.0
3975,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,52.6,31.5,Да,Нет,Нет,Нет,Да,Нет,54.0,10000.0,500.0,7000.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Несколько месяцев,Нет,Нет,22500.0
3976,5.0,10000000.0,58.4,38.6,Нет,Да,Нет,Нет,Да,Нет,84.0,50000.0,1000.0,7600.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Да,Полгода и больше,Нет,Нет,105000.0
3977,2.0,12000000.0,52.8,38.0,Нет,Нет,Нет,Нет,Нет,Нет,36.0,26000.0,400.0,8000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Несколько месяцев,Нет,Нет,87000.0
3978,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,54.0,34.8,Нет,Да,Нет,Нет,Да,Нет,45.0,10000.0,500.0,5000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Ни одного дня,Нет,Нет,31000.0
