iter	Passed	Remaining
965	28152	990
966	28183	961
967	28215	932
968	28249	903
969	28276	874
970	28301	845
971	28326	815
972	28352	786
973	28379	757
974	28417	728
975	28450	699
976	28474	670
977	28501	641
978	28527	611
979	28557	582
980	28592	553
981	28624	524
982	28659	495
983	28684	466
984	28721	437
985	28750	408
986	28775	379
987	28809	349
988	28839	320
989	28869	291
990	28895	262
991	28924	233
992	28948	204
993	28975	174
994	29001	145
995	29036	116
996	29077	87
997	29105	58
998	29142	29
999	29169	0
